reader_id,content_id,time_spent
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,F545F566-096E-472D-85CC-5EBDBD6996CF,1 days 02:00:33
BD6D7C75-E412-45D0-A27D-3B81A3C9733C,5C1E51E0-0989-4A90-A77C-31A356B8A2E0,1 days 00:18:50
06FA0E88-69F4-4658-8381-B49510C2FDBB,55A4B4F7-328D-4721-A1A6-F70362E07C6C,1 days 00:06:28
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,23EE7A34-1CC9-4E84-ACC2-7E9FA8C644F7,0 days 23:45:10
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,0210E1E8-388D-4222-9656-CF21231FC62A,0 days 23:06:14
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,6B682BC0-E715-4339-BD96-FBC72AFE0CA0,0 days 19:36:48
BA4E17A4-F9B9-48D4-9E74-0B30BE93C64B,81CF9B46-C85D-4A89-B212-2BE24C7204B9,0 days 13:01:21
960C463E-A438-4D1E-94E0-3F06C3C5B402,72977E5A-3E8C-4D5F-98F4-43A35E2630A9,0 days 10:52:15
A6FBBB8B-3A16-4FC2-8467-4F6E632A9156,3A5C7B4C-C74B-43EB-BEB2-BD8CCE6A4FCD,0 days 10:37:33
960C463E-A438-4D1E-94E0-3F06C3C5B402,2B41FFCB-9548-4AF9-82FA-A582B5FEFACD,0 days 10:27:44
57D6B3CF-3174-486C-89DB-F753BE142BC7,97A060F3-4992-4331-8E3F-F0731142DCB6,0 days 10:25:06
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,AA7FEE95-F05A-4518-9FB6-84630CD69AE7,0 days 10:21:40
CA6A6A7B-2CFF-4559-A4E8-88A49A46AE00,21383181-56A0-4C58-96BF-4736DB993030,0 days 10:18:08
2F6D8564-C449-48A5-858B-6C999C5AE9D5,56749249-EF21-4488-943F-D1DF77DCEB66,0 days 10:15:04
19A84E7F-CD96-4AD3-A23D-72964F3A05CE,F3F004DD-77D8-4F10-8AB3-80CF23DCB193,0 days 10:12:40
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,A4DBD1F2-D874-4C4C-AB1E-D6D50EEE6714,0 days 10:09:14
960C463E-A438-4D1E-94E0-3F06C3C5B402,6B29165B-FA92-40E1-A686-D7A3026FAA56,0 days 09:59:22
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,5A3C588B-13A2-4FCD-ACF7-12DCE20F4F73,0 days 09:58:57
7B142B14-9A7A-415D-8002-722223561119,D0580E51-8049-46AD-B373-063034B8A8FB,0 days 09:58:06
3E2232F9-8B13-429A-8750-5AB63235EE45,1F5DEFE7-5538-472D-86F4-E210C926EF38,0 days 09:53:53
960C463E-A438-4D1E-94E0-3F06C3C5B402,6FCA5926-DE2A-4766-8847-DC0802295007,0 days 09:51:34
058D2EA6-F6BB-4272-8F3C-4C3F74E36056,3631640C-1A07-47A1-B33B-5095F82FBED1,0 days 09:51:22
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,60720516-AAE6-4232-B4E6-D9C6461250DE,0 days 09:51:10
E4687309-E22E-439B-9DD3-C26CAFA60880,AE571DA1-04A8-45B7-BF82-2B934DA413AC,0 days 09:49:17
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,BC18A84C-A0AD-4FC1-8086-0980C8645856,0 days 09:49:10
960C463E-A438-4D1E-94E0-3F06C3C5B402,31152070-364D-4442-830F-97D1D66F247A,0 days 09:48:48
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,C904F85E-C31C-4913-B2A2-31130DD73AFC,0 days 09:48:26
0CF5D479-4D62-408F-9CF4-F65878E62DB3,DB885B2A-F4B9-4B72-BC81-153465E03730,0 days 09:46:25
E72441D2-DFBB-4EA7-B8B1-C3B84E53FD70,059330AC-D3F5-45D3-8D7F-4DBA1DB3CBBD,0 days 09:45:50
E4687309-E22E-439B-9DD3-C26CAFA60880,5480B037-6891-47A4-A568-044F1B3BCEE8,0 days 09:44:33
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,FE7E9C54-9732-474D-8C07-4E42557146D2,0 days 09:43:10
3E2232F9-8B13-429A-8750-5AB63235EE45,D0B67C71-371E-41C0-80AF-EF3C766228DB,0 days 09:41:07
3E2232F9-8B13-429A-8750-5AB63235EE45,59C55D17-2AC7-477F-9019-344BA08429DC,0 days 09:38:21
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,71DCB8B6-6595-42CB-958D-EE7FBFABCA29,0 days 09:35:00
AC2BE297-30D0-4083-A7CB-E19EE2669DEB,6B0DF955-3142-40E3-9C7D-4ABDEE03B241,0 days 09:26:56
960C463E-A438-4D1E-94E0-3F06C3C5B402,6B308336-980F-4CEA-8260-86BF92C78361,0 days 09:26:39
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,7AC20DB5-4E91-4BC8-9B13-FE123294DFB8,0 days 09:25:38
AC2BE297-30D0-4083-A7CB-E19EE2669DEB,AFD5469E-B676-4408-8E89-054D371D763B,0 days 09:22:30
