viewer_id,content_id,viewtime
14CD4307-7F24-4220-ADA9-3BB389749439,0DB9DF2E-23CB-470A-8FEF-4CE864F4A617,0 days 00:00:04
14CD4307-7F24-4220-ADA9-3BB389749439,0EB0FC7E-BC25-4E71-B2D1-A1D0CBDFE8B1,0 days 00:00:13
14CD4307-7F24-4220-ADA9-3BB389749439,14FC6041-C88A-46F2-A72C-ABBA9E6B5493,0 days 00:01:45
14CD4307-7F24-4220-ADA9-3BB389749439,187C0A30-68D1-4961-A35A-21C0822F1794,0 days 00:00:08
14CD4307-7F24-4220-ADA9-3BB389749439,2274773E-74DB-411C-86E8-ACB955A006E5,0 days 00:03:57
14CD4307-7F24-4220-ADA9-3BB389749439,2398CE2E-EDAA-44EF-A07E-22EA67D900D9,0 days 00:01:29
14CD4307-7F24-4220-ADA9-3BB389749439,280F476D-0573-4D82-ABE0-47DE30E61B7B,0 days 00:01:55
14CD4307-7F24-4220-ADA9-3BB389749439,2CBB70A5-07AD-4196-B5F5-C76652FA75B9,0 days 00:00:22
14CD4307-7F24-4220-ADA9-3BB389749439,2CEE2533-FC52-4BB0-ABF6-C82338F7B367,0 days 00:01:38
14CD4307-7F24-4220-ADA9-3BB389749439,3251F726-5B38-48A1-A119-C1C8B249E747,0 days 00:00:19
14CD4307-7F24-4220-ADA9-3BB389749439,3495C678-F871-41E4-8508-9EFBBCEEB508,0 days 00:00:36
14CD4307-7F24-4220-ADA9-3BB389749439,3AAA2B8D-F1C3-42BB-8B3D-340A7D371567,0 days 00:00:37
14CD4307-7F24-4220-ADA9-3BB389749439,42BFBB4F-2FD3-446D-925E-354672F81386,0 days 00:00:08
14CD4307-7F24-4220-ADA9-3BB389749439,438F7E18-5BA2-435A-BE5F-C6C7E27C50CA,0 days 00:00:16
14CD4307-7F24-4220-ADA9-3BB389749439,450522AF-9135-443A-99A2-674873996EF3,0 days 00:01:06
14CD4307-7F24-4220-ADA9-3BB389749439,4A7ACB99-6C1D-47E7-B8B9-2EDC2FCAF64C,0 days 00:00:29
14CD4307-7F24-4220-ADA9-3BB389749439,4B34E70E-3D94-4C15-A76E-95715FD3046E,0 days 00:00:15
14CD4307-7F24-4220-ADA9-3BB389749439,5330FCC3-2599-4B41-AAF8-D8BBF985A395,0 days 00:00:24
14CD4307-7F24-4220-ADA9-3BB389749439,5636971D-F277-43C1-843A-2F0F4FB868AF,0 days 00:00:02
14CD4307-7F24-4220-ADA9-3BB389749439,573C3DE4-3803-45ED-9487-224718FB8795,0 days 00:00:58
14CD4307-7F24-4220-ADA9-3BB389749439,5777E8D1-DD09-48B2-82F3-19223CD6057B,0 days 00:00:04
14CD4307-7F24-4220-ADA9-3BB389749439,59ABDE69-CBFF-42D3-B2A4-D220582CEE9B,0 days 00:00:06
14CD4307-7F24-4220-ADA9-3BB389749439,5B6D9EE3-D934-40E2-83DB-ADF662ED843D,0 days 00:00:15
14CD4307-7F24-4220-ADA9-3BB389749439,5E1D4DB0-60C6-4CD2-B463-77B21E432C32,0 days 00:00:02
14CD4307-7F24-4220-ADA9-3BB389749439,5E7A29AC-88FC-47C0-B76D-34FF52261C2D,0 days 00:00:58
14CD4307-7F24-4220-ADA9-3BB389749439,5F6B72DC-2C8F-4915-A218-A483553897E5,0 days 00:00:05
14CD4307-7F24-4220-ADA9-3BB389749439,618F59CA-2F6A-401D-BAEB-BF5CB3242D9A,0 days 00:00:15
14CD4307-7F24-4220-ADA9-3BB389749439,64546712-59F9-4D17-AC11-D7ABCEC36F5D,0 days 00:00:30
14CD4307-7F24-4220-ADA9-3BB389749439,6D1A9F0D-ECE8-4715-A700-E67D1231B4F8,0 days 00:00:02
14CD4307-7F24-4220-ADA9-3BB389749439,7C95EEFD-F675-45DA-81CC-B7F430CC57A4,0 days 00:00:07
14CD4307-7F24-4220-ADA9-3BB389749439,8A6C03F1-5342-4D47-926E-4B90855393B9,0 days 00:00:02
14CD4307-7F24-4220-ADA9-3BB389749439,8BA0AB36-71C5-46D8-AFB3-AC199998D73D,0 days 00:00:08
14CD4307-7F24-4220-ADA9-3BB389749439,922F7CB8-3BA9-4ED4-8688-9540CD3125FE,0 days 00:00:04
